nome;telefone;cpf;valor a pagar;idCompraMercado;rachouOuNao
Joãozinho;21997190278;15872635948;214.5;420152;True
Juninho;21985691631;48263519624;214.5;420152;False
Jeff;21997116553;15247863592;214.5;420152;False
Marcão;3184224453;15247856932;214.5;420152;True
Janice;3191711525;75123548965;214.5;420152;True
Sthefany;5484034964;96547521685;214.5;420152;True
Paola;6182827482;75482635984;214.5;420152;False
Jennifer;81932016;12475963568;214.5;420152;True
Gerusa;5484034964;52483564875;214.5;420152;False
Teuzinho;6181932016;75482463594;70.0;420160;True
Caue;4898530321;63251453624;7.50;421001;True
Henrique;973245882;75961235486;7.50;421001;False
